Epoch 137: Loss: 0.000170, Rec Loss: 0.000169, FC Loss: 0.000000
Epoch 138: Loss: 0.000180, Rec Loss: 0.000180, FC Loss: 0.000000
Epoch 139: Loss: 0.000184, Rec Loss: 0.000183, FC Loss: 0.000000
Epoch 140: Loss: 0.000165, Rec Loss: 0.000165, FC Loss: 0.000000
Epoch 141: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 142: Loss: 0.000164, Rec Loss: 0.000164, FC Loss: 0.000000
Epoch 143: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 144: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 145: Loss: 0.000180, Rec Loss: 0.000179, FC Loss: 0.000000
Epoch 146: Loss: 0.000167, Rec Loss: 0.000167, FC Loss: 0.000000
Epoch 147: Loss: 0.000226, Rec Loss: 0.000226, FC Loss: 0.000000
Epoch 148: Loss: 0.000168, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 149: Loss: 0.000153, Rec Loss: 0.000153, FC Loss: 0.000000
Epoch 150: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 151: Loss: 0.000167, Rec Loss: 0.000167, FC Loss: 0.000000
Epoch 152: Loss: 0.000165, Rec Loss: 0.000164, FC Loss: 0.000000
Epoch 153: Loss: 0.000176, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 154: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 155: Loss: 0.000161, Rec Loss: 0.000161, FC Loss: 0.000000
Epoch 156: Loss: 0.000165, Rec Loss: 0.000165, FC Loss: 0.000000
Epoch 157: Loss: 0.000200, Rec Loss: 0.000199, FC Loss: 0.000000
Epoch 158: Loss: 0.000202, Rec Loss: 0.000202, FC Loss: 0.000000
Epoch 159: Loss: 0.000158, Rec Loss: 0.000158, FC Loss: 0.000000
Epoch 160: Loss: 0.000159, Rec Loss: 0.000159, FC Loss: 0.000000
Epoch 161: Loss: 0.000201, Rec Loss: 0.000201, FC Loss: 0.000000
Epoch 162: Loss: 0.000157, Rec Loss: 0.000157, FC Loss: 0.000000
Epoch 163: Loss: 0.000158, Rec Loss: 0.000158, FC Loss: 0.000000
Epoch 164: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 165: Loss: 0.000163, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 166: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 167: Loss: 0.000174, Rec Loss: 0.000174, FC Loss: 0.000000
Epoch 168: Loss: 0.000175, Rec Loss: 0.000174, FC Loss: 0.000000
Epoch 169: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 170: Loss: 0.000162, Rec Loss: 0.000162, FC Loss: 0.000000
Epoch 171: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 172: Loss: 0.000172, Rec Loss: 0.000171, FC Loss: 0.000000
Epoch 173: Loss: 0.000175, Rec Loss: 0.000174, FC Loss: 0.000000
Epoch 174: Loss: 0.000168, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 175: Loss: 0.000162, Rec Loss: 0.000162, FC Loss: 0.000000
Epoch 176: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 177: Loss: 0.000186, Rec Loss: 0.000186, FC Loss: 0.000000
Epoch 178: Loss: 0.000162, Rec Loss: 0.000162, FC Loss: 0.000000
Epoch 179: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 180: Loss: 0.000156, Rec Loss: 0.000156, FC Loss: 0.000000
Epoch 181: Loss: 0.000183, Rec Loss: 0.000183, FC Loss: 0.000000
