Epoch 122: Loss: 0.000451, Rec Loss: 0.000451, FC Loss: 0.000000
Epoch 123: Loss: 0.000447, Rec Loss: 0.000447, FC Loss: 0.000000
Epoch 124: Loss: 0.000412, Rec Loss: 0.000412, FC Loss: 0.000000
Epoch 125: Loss: 0.000447, Rec Loss: 0.000447, FC Loss: 0.000000
Epoch 126: Loss: 0.000416, Rec Loss: 0.000416, FC Loss: 0.000000
Epoch 127: Loss: 0.000494, Rec Loss: 0.000494, FC Loss: 0.000000
Epoch 128: Loss: 0.000405, Rec Loss: 0.000405, FC Loss: 0.000000
Epoch 129: Loss: 0.000428, Rec Loss: 0.000428, FC Loss: 0.000000
Epoch 130: Loss: 0.000413, Rec Loss: 0.000413, FC Loss: 0.000000
Epoch 131: Loss: 0.000439, Rec Loss: 0.000439, FC Loss: 0.000000
Epoch 132: Loss: 0.000414, Rec Loss: 0.000414, FC Loss: 0.000000
Epoch 133: Loss: 0.000432, Rec Loss: 0.000432, FC Loss: 0.000000
