Epoch 114: Loss: 0.000349, Rec Loss: 0.000349, FC Loss: 0.000000
Epoch 115: Loss: 0.000370, Rec Loss: 0.000370, FC Loss: 0.000000
Epoch 116: Loss: 0.000340, Rec Loss: 0.000340, FC Loss: 0.000000
Epoch 117: Loss: 0.000362, Rec Loss: 0.000362, FC Loss: 0.000000
Epoch 118: Loss: 0.000387, Rec Loss: 0.000387, FC Loss: 0.000000
Epoch 119: Loss: 0.000352, Rec Loss: 0.000352, FC Loss: 0.000000
Epoch 120: Loss: 0.000331, Rec Loss: 0.000331, FC Loss: 0.000000
Epoch 121: Loss: 0.000417, Rec Loss: 0.000417, FC Loss: 0.000000
Epoch 122: Loss: 0.000356, Rec Loss: 0.000356, FC Loss: 0.000000
Epoch 123: Loss: 0.000336, Rec Loss: 0.000336, FC Loss: 0.000000
Epoch 124: Loss: 0.000343, Rec Loss: 0.000343, FC Loss: 0.000000
Epoch 125: Loss: 0.000355, Rec Loss: 0.000355, FC Loss: 0.000000
Epoch 126: Loss: 0.000370, Rec Loss: 0.000370, FC Loss: 0.000000
Epoch 127: Loss: 0.000336, Rec Loss: 0.000336, FC Loss: 0.000000
Epoch 128: Loss: 0.000351, Rec Loss: 0.000351, FC Loss: 0.000000
Epoch 129: Loss: 0.000353, Rec Loss: 0.000353, FC Loss: 0.000000
Epoch 130: Loss: 0.000336, Rec Loss: 0.000336, FC Loss: 0.000000
Epoch 131: Loss: 0.000343, Rec Loss: 0.000343, FC Loss: 0.000000
Epoch 132: Loss: 0.000348, Rec Loss: 0.000348, FC Loss: 0.000000
Epoch 133: Loss: 0.000328, Rec Loss: 0.000328, FC Loss: 0.000000
Epoch 134: Loss: 0.000367, Rec Loss: 0.000367, FC Loss: 0.000000
Epoch 135: Loss: 0.000329, Rec Loss: 0.000329, FC Loss: 0.000000
Epoch 136: Loss: 0.000316, Rec Loss: 0.000316, FC Loss: 0.000000
Epoch 137: Loss: 0.000329, Rec Loss: 0.000329, FC Loss: 0.000000
Epoch 138: Loss: 0.000331, Rec Loss: 0.000331, FC Loss: 0.000000
Epoch 139: Loss: 0.000358, Rec Loss: 0.000358, FC Loss: 0.000000
Epoch 140: Loss: 0.000342, Rec Loss: 0.000342, FC Loss: 0.000000
Epoch 141: Loss: 0.000307, Rec Loss: 0.000307, FC Loss: 0.000000
Epoch 142: Loss: 0.000345, Rec Loss: 0.000345, FC Loss: 0.000000
Epoch 143: Loss: 0.000320, Rec Loss: 0.000320, FC Loss: 0.000000
