Epoch 176: Loss: 0.000274, Rec Loss: 0.000273, FC Loss: 0.000000
Epoch 177: Loss: 0.000299, Rec Loss: 0.000298, FC Loss: 0.000000
Epoch 178: Loss: 0.000252, Rec Loss: 0.000251, FC Loss: 0.000000
Epoch 179: Loss: 0.000271, Rec Loss: 0.000271, FC Loss: 0.000000
Epoch 180: Loss: 0.000268, Rec Loss: 0.000268, FC Loss: 0.000000
Epoch 181: Loss: 0.000274, Rec Loss: 0.000274, FC Loss: 0.000000
Epoch 182: Loss: 0.000267, Rec Loss: 0.000267, FC Loss: 0.000000
Epoch 183: Loss: 0.000269, Rec Loss: 0.000269, FC Loss: 0.000000
Epoch 184: Loss: 0.000273, Rec Loss: 0.000273, FC Loss: 0.000000
Epoch 185: Loss: 0.000259, Rec Loss: 0.000259, FC Loss: 0.000000
Epoch 186: Loss: 0.000259, Rec Loss: 0.000258, FC Loss: 0.000000
Epoch 187: Loss: 0.000286, Rec Loss: 0.000286, FC Loss: 0.000000
Epoch 188: Loss: 0.000266, Rec Loss: 0.000266, FC Loss: 0.000000
Epoch 189: Loss: 0.000263, Rec Loss: 0.000263, FC Loss: 0.000000
Epoch 190: Loss: 0.000252, Rec Loss: 0.000252, FC Loss: 0.000000
Epoch 191: Loss: 0.000252, Rec Loss: 0.000252, FC Loss: 0.000000
Epoch 192: Loss: 0.000284, Rec Loss: 0.000284, FC Loss: 0.000000
Epoch 193: Loss: 0.000258, Rec Loss: 0.000258, FC Loss: 0.000000
Epoch 194: Loss: 0.000263, Rec Loss: 0.000263, FC Loss: 0.000000
Epoch 195: Loss: 0.000256, Rec Loss: 0.000256, FC Loss: 0.000000
Epoch 196: Loss: 0.000253, Rec Loss: 0.000253, FC Loss: 0.000000
Epoch 197: Loss: 0.000269, Rec Loss: 0.000269, FC Loss: 0.000000
Epoch 198: Loss: 0.000258, Rec Loss: 0.000257, FC Loss: 0.000000
Epoch 199: Loss: 0.000271, Rec Loss: 0.000271, FC Loss: 0.000000
Epoch 200: Loss: 0.000242, Rec Loss: 0.000242, FC Loss: 0.000000
Epoch 201: Loss: 0.000254, Rec Loss: 0.000253, FC Loss: 0.000000
Epoch 202: Loss: 0.000257, Rec Loss: 0.000257, FC Loss: 0.000000
Epoch 203: Loss: 0.000277, Rec Loss: 0.000277, FC Loss: 0.000000
Epoch 204: Loss: 0.000240, Rec Loss: 0.000240, FC Loss: 0.000000
Epoch 205: Loss: 0.000257, Rec Loss: 0.000257, FC Loss: 0.000000
Epoch 206: Loss: 0.000244, Rec Loss: 0.000244, FC Loss: 0.000000
Epoch 207: Loss: 0.000261, Rec Loss: 0.000261, FC Loss: 0.000000
Epoch 208: Loss: 0.000260, Rec Loss: 0.000259, FC Loss: 0.000000
Epoch 209: Loss: 0.000246, Rec Loss: 0.000246, FC Loss: 0.000000
Epoch 210: Loss: 0.000253, Rec Loss: 0.000253, FC Loss: 0.000000
Epoch 211: Loss: 0.000249, Rec Loss: 0.000249, FC Loss: 0.000000
Epoch 212: Loss: 0.000270, Rec Loss: 0.000270, FC Loss: 0.000000
Epoch 213: Loss: 0.000230, Rec Loss: 0.000230, FC Loss: 0.000000
Epoch 214: Loss: 0.000258, Rec Loss: 0.000258, FC Loss: 0.000000
